id,name,parent,parent_id
20.19,Katherine Everitt,James Landay,20
20.20,Richard Davis,James Landay,20
20.20.1,Kenny Choo Tsu Wei,Richard Davis,20.20
20.20.1.1,Kellie Sim Yu Hui,Kenny Choo Tsu Wei,20.20.1
20.20.1.2,Weiyan ShiShi Weiyan,Kenny Choo Tsu Wei,20.20.1
20.20.1.3,Pannapat “Apple” Chanpaisaeng,Kenny Choo Tsu Wei,20.20.1
20.20.2,Camellia Zakaria,Richard Davis,20.20
20.21,Mark W. Newman,James Landay,20
20.21.1,Tao Dong,Mark W. Newman,20.21
20.21.2,Yung-Ju “Stanley” Chang,Mark W. Newman,20.21
20.21.3,Rayoung Yang,Mark W. Newman,20.21
20.21.4,Gaurav Paruthi,Mark W. Newman,20.21
20.21.5,Chuan-che “Jeff” Huang,Mark W. Newman,20.21
20.21.6,Shriti Raj,Mark W. Newman,20.21
20.21.7,Meghan Clark,Mark W. Newman,20.21
20.21.8,Xinghui Yan,Mark W. Newman,20.21
20.21.9,Yuxuan Li,Mark W. Newman,20.21
20.21.10,Yoonjeong Cha,Mark W. Newman,20.21
20.21.11,Soo Ji Choi,Mark W. Newman,20.21
20.21.12,Rongqi Bei,Mark W. Newman,20.21
20.21.13,Ka-I Chan,Mark W. Newman,20.21
20.22,James Lin,James Landay,20
20.23,Jason Hong,James Landay,20
20.23.1,Karen Tang,Jason Hong,20.23
20.23.2,Duen Horng (Polo) Chau,Jason Hong,20.23
20.23.2.1,Acar Tamersoy,Duen Horng (Polo) Chau,20.23.2
20.23.2.2,Robert Pienta,Duen Horng (Polo) Chau,20.23.2
20.23.2.3,Charles D. (Chad) Stolper,Duen Horng (Polo) Chau,20.23.2
20.23.2.4,Minsuk Kahng,Duen Horng (Polo) Chau,20.23.2
20.23.2.4.1,Md Montaser Hamid,Minsuk Kahng,20.23.2.4
20.23.2.4.2,Eric Slyman,Minsuk Kahng,20.23.2.4
20.23.2.5,Shang-Tse Chen,Duen Horng (Polo) Chau,20.23.2
20.23.2.5.1,Bo-Han Kung,Shang-Tse Chen,20.23.2.5
20.23.2.5.2,Hsuan Su,Shang-Tse Chen,20.23.2.5
20.23.2.6,Fred Hohman,Duen Horng (Polo) Chau,20.23.2
20.23.2.7,Nilaksh Das,Duen Horng (Polo) Chau,20.23.2
20.23.2.8,Scott Freitas,Duen Horng (Polo) Chau,20.23.2
20.23.2.9,Haekyu Park,Duen Horng (Polo) Chau,20.23.2
20.23.2.10,Austin Wright,Duen Horng (Polo) Chau,20.23.2
20.23.2.11,Zijie (Jay) Wang,Duen Horng (Polo) Chau,20.23.2
20.23.2.12,Rahul Duggal,Duen Horng (Polo) Chau,20.23.2
20.23.2.13,Seongmin Lee,Duen Horng (Polo) Chau,20.23.2
20.23.2.14,Ben Hoover,Duen Horng (Polo) Chau,20.23.2
